config,platform,i,run,ni,nj,nk,nranks,gridpoints,gridpoints_per_rank,dt,nsteps,main_loop,total_runtime,init,termination,sec_per_step,throughput,continuity,continuity_frac,kernel_ppm_limit_pos,kernel_reconstruction_x,kernel_reconstruction_y,kernel_zonal_edge_thickness,kernel_meridional_edge_thickness,kernel_ppm_limit_pos_source,kernel_reconstruction_x_source,kernel_reconstruction_y_source,kernel_zonal_edge_thickness_source,kernel_meridional_edge_thickness_source
iturbo_CPU_amrex,cpu,128,2,512,256,100,128,13107200,102400.0,75,150,76.473107,81.16828,0.459784,4.177639,0.5098207133333333,25709430.11377843,38.62951,0.5051384926729864,0.8239,2.333,1.963,2.335,1.965,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,128,3,512,256,100,128,13107200,102400.0,75,150,76.63264,81.317693,0.463723,4.16343,0.5108842666666666,25655908.500607576,38.768757,0.5059039725109301,0.8414,2.35,1.985,2.352,1.988,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,1,512,512,100,128,26214400,204800.0,75,150,155.362305,164.49302,0.989928,8.01094,1.0357486999999999,25309614.195026267,78.262409,0.5037412968351622,2.282,5.057,4.024,5.059,4.026,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,2,512,512,100,128,26214400,204800.0,75,150,154.046396,163.103503,0.805894,8.183759,1.0269759733333332,25525816.261225615,77.912181,0.5057708782748803,2.29,4.842,4.084,4.845,4.087,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,256,3,512,512,100,128,26214400,204800.0,75,150,154.119017,163.148046,0.758643,8.204406,1.0274601133333334,25513788.476862654,77.90677,0.5054974494159925,2.295,4.84,4.077,4.842,4.08,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,512,1,1024,512,100,128,52428800,409600.0,37,150,412.662714,430.432947,1.667014,15.967009,2.75108476,19057500.794704705,219.447707,0.5317846743963401,7.306,14.17,13.48,14.17,13.48,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,512,2,1024,512,100,128,52428800,409600.0,37,150,412.729755,430.357807,1.483808,16.059243,2.7515317,19054405.224551838,218.856802,0.5302665953900028,7.16,13.72,12.88,13.72,12.89,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,512,3,1024,512,100,128,52428800,409600.0,37,150,410.058012,427.599289,1.283115,16.191778,2.7337200800000003,19178554.667528357,219.088315,0.5342861463221452,7.227,13.75,12.9,13.76,12.9,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,1024,1,1024,1024,100,128,104857600,819200.0,37,150,811.87094,846.411312,2.91779,31.550403,5.4124729333333335,19373325.51895502,428.669735,0.5280023140131115,15.62,27.75,26.68,27.75,26.69,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,1024,2,1024,1024,100,128,104857600,819200.0,37,150,812.223024,846.59812,2.713501,31.528355,5.41482016,19364927.532514762,428.357311,0.5273887815817444,15.64,27.47,26.11,27.47,26.12,tiny,tiny,tiny,tiny,tiny
iturbo_CPU_amrex,cpu,1024,3,1024,1024,100,128,104857600,819200.0,37,150,812.435542,846.985972,2.875569,31.542262,5.416236946666667,19359862.02829122,429.958245,0.529221363139231,15.66,27.48,26.19,27.49,26.19,tiny,tiny,tiny,tiny,tiny
dev_turbo_GPU,gpu,1,1,32,32,100,1,102400,102400.0,1200,150,18.957234,19.682438,0.629231,0.058373,0.12638156,810244.7857108269,1.061619,0.05600073301832958,0.013463,0.02621,0.023534,0.026544,0.023846,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,1,2,32,32,100,1,102400,102400.0,1200,150,17.354839,17.678931,0.282104,0.033984,0.11569892666666666,885055.7472760192,1.060303,0.06109552500026074,0.013613,0.026283,0.023703,0.026625,0.024037,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,1,3,32,32,100,1,102400,102400.0,1200,150,17.250136,17.570226,0.275694,0.036552,0.11500090666666668,890427.7624245976,1.046101,0.06064305811849831,0.013438,0.025941,0.02332,0.026262,0.023637,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,2,1,64,32,100,1,204800,204800.0,600,150,18.159583,18.582517,0.335505,0.079465,0.12106388666666668,1691668.8009851326,1.152392,0.06345916643570505,0.015869,0.030039,0.02721,0.030365,0.027517,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,2,2,64,32,100,1,204800,204800.0,600,150,18.089039,18.49387,0.336284,0.06118,0.12059359333333333,1698266.0051758415,1.151437,0.0636538513737518,0.015504,0.029557,0.02706,0.02998,0.027373,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,2,3,64,32,100,1,204800,204800.0,600,150,17.982795,18.414344,0.334295,0.089995,0.1198853,1708299.5162876516,1.150157,0.06395874501155133,0.015602,0.02942,0.027181,0.02985,0.02747,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,4,1,64,64,100,1,409600,409600.0,600,150,20.026763,20.558229,0.407397,0.116758,0.13351175333333332,3067894.6967115956,1.503407,0.07506989521971175,0.018502,0.035843,0.032095,0.042245,0.033142,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,4,2,64,64,100,1,409600,409600.0,600,150,19.719162,20.247983,0.405782,0.117344,0.13146108,3115751.064877909,1.441093,0.07308084390198731,0.018511,0.035643,0.032142,0.038696,0.033334,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,4,3,64,64,100,1,409600,409600.0,600,150,19.923356,20.448052,0.400055,0.1162,0.13282237333333333,3083817.806598447,1.441335,0.07234398662554643,0.018426,0.035451,0.031891,0.03821,0.03307,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,8,1,128,64,100,1,819200,819200.0,300,150,21.826398,22.596626,0.537238,0.225694,0.14550932,5629879.927966126,1.959219,0.08976373472159721,0.024814,0.043698,0.041742,0.044201,0.042044,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,8,2,128,64,100,1,819200,819200.0,300,150,21.799549,22.572425,0.538166,0.227429,0.14533032666666665,5636813.862525322,1.964498,0.09011645149172583,0.024867,0.043822,0.041605,0.044327,0.041893,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,8,3,128,64,100,1,819200,819200.0,300,150,21.801836,22.57072,0.534585,0.227117,0.14534557333333334,5636222.564007912,1.965653,0.09015997551765824,0.024924,0.044183,0.041773,0.044542,0.042111,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,16,1,128,128,100,1,1638400,1638400.0,300,150,26.188327,27.450245,0.780186,0.466127,0.17458884666666669,9384333.714788271,2.16244,0.08257266682213034,0.049435,0.073945,0.070318,0.077007,0.071727,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,16,2,128,128,100,1,1638400,1638400.0,300,150,26.471553,27.733758,0.778943,0.467627,0.17647702,9283928.298426617,2.163707,0.08173706317872624,0.049392,0.07384,0.070348,0.076535,0.071708,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,16,3,128,128,100,1,1638400,1638400.0,300,150,26.413328,27.676535,0.781209,0.46639,0.17608885333333332,9304393.600079475,2.189231,0.08288357302040848,0.049685,0.073987,0.0707,0.076617,0.071995,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,32,1,256,128,100,1,3276800,3276800.0,150,150,35.457313,37.736219,1.282953,0.978246,0.23638208666666666,13862302.538266225,3.478796,0.09811222863954751,0.079892,0.119663,0.114323,0.122482,0.115657,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,32,2,256,128,100,1,3276800,3276800.0,150,150,35.354048,37.637442,1.277421,0.989326,0.23569365333333334,13902792.687275868,3.468359,0.09810358915618375,0.079917,0.119561,0.11416,0.126541,0.115322,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,32,3,256,128,100,1,3276800,3276800.0,150,150,35.304967,37.608865,1.301281,0.985852,0.23536644666666665,13922120.363403825,3.454789,0.09785560768262437,0.079865,0.119567,0.114325,0.123065,0.115586,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,64,1,256,256,100,1,6553600,6553600.0,150,150,54.339158,58.5257,2.240103,1.927082,0.3622610533333333,18090821.35575233,5.315774,0.09782584411779072,0.146371,0.212305,0.208055,0.219797,0.215929,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,64,2,256,256,100,1,6553600,6553600.0,150,150,54.463457,58.627715,2.22024,1.924555,0.36308971333333334,18049533.65336321,5.315894,0.09760478480093543,0.146284,0.21205,0.207877,0.219729,0.215937,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,64,3,256,256,100,1,6553600,6553600.0,150,150,54.243381,58.391239,2.220175,1.907952,0.36162254,18122764.13964683,5.314017,0.0979661831920101,0.146187,0.212181,0.207641,0.219888,0.215579,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,128,1,512,256,100,1,13107200,13107200.0,75,150,92.760559,100.848195,4.143868,3.917843,0.6184037266666667,21195215.091362268,9.623786,0.10374868482627407,0.256336,0.385683,0.384993,0.396898,0.394806,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,128,2,512,256,100,1,13107200,13107200.0,75,150,92.887983,100.964267,4.266376,3.784375,0.61925322,21166139.434850253,9.608596,0.10344283178158793,0.256331,0.385364,0.384753,0.395462,0.393362,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,128,3,512,256,100,1,13107200,13107200.0,75,150,93.239388,101.159677,4.115537,3.780492,0.6215959200000001,21086367.49095779,9.599561,0.10295607045383008,0.256128,0.385328,0.384592,0.3954,0.392975,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,256,1,512,512,100,1,26214400,26214400.0,75,150,163.99246,179.393359,7.894802,7.469203,1.0932830666666666,23977687.75466872,16.676324,0.10168957767936405,0.492637,0.743023,0.74506,0.751643,0.753779,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,256,2,512,512,100,1,26214400,26214400.0,75,150,164.990621,180.48839,7.994994,7.455938,1.0999374733333334,23832627.431592006,16.672755,0.10105274408295001,0.492541,0.742496,0.744923,0.751014,0.753505,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,256,3,512,512,100,1,26214400,26214400.0,75,150,164.95319,180.347201,7.830295,7.526312,1.0996879333333334,23838035.505709223,16.693569,0.10120185611445283,0.492599,0.74299,0.745054,0.751445,0.753686,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,512,1,1024,512,100,1,52428800,52428800.0,37,150,400.899615,431.137891,15.31784,14.859983,2.6726641,19616681.348022748,47.650208,0.11885820344327346,1.372608,2.153472,2.196934,2.167149,2.211392,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,512,2,1024,512,100,1,52428800,52428800.0,37,150,393.151009,423.490678,15.276167,15.002929,2.621006726666667,20003306.15964412,47.738945,0.12142648475308887,1.372548,2.152823,2.194934,2.167227,2.20957,mom6,mom6,mom6,mom6,mom6
dev_turbo_GPU,gpu,512,3,1024,512,100,1,52428800,52428800.0,37,150,392.042737,422.171785,15.205015,14.863595,2.6136182466666664,20059853.831701007,47.721332,0.12172482103653919,1.372079,2.15355,2.197086,2.167921,2.211684,mom6,mom6,mom6,mom6,mom6
iturbo_GPU_amrex,gpu,1,1,32,32,100,1,102400,102400.0,1200,150,19.300769,19.980977,0.429309,0.06905,0.12867179333333334,795823.2130543607,2.578888,0.13361581603302958,0.01118,0.01728,0.01575,0.0187,0.01714,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,1,2,32,32,100,1,102400,102400.0,1200,150,18.868546,19.202299,0.295199,0.001543,0.12579030666666666,814053.186716136,2.525228,0.13383267581932387,0.01106,0.01665,0.01559,0.018,0.01695,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,1,3,32,32,100,1,102400,102400.0,1200,150,18.719591,19.054843,0.295277,0.001274,0.12479727333333335,820530.7477070412,2.551043,0.13627664194158942,0.01102,0.01671,0.01559,0.01807,0.01698,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,2,1,64,32,100,1,204800,204800.0,600,150,20.328591,20.723474,0.351978,0.001179,0.13552394,1511172.1220619767,3.372133,0.165881294970222,0.01235,0.01921,0.01788,0.02062,0.01928,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,2,2,64,32,100,1,204800,204800.0,600,150,20.231371,20.626826,0.350926,0.002016,0.13487580666666665,1518433.9212602053,3.376345,0.16688661386319298,0.01219,0.01923,0.01782,0.02066,0.01926,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,2,3,64,32,100,1,204800,204800.0,600,150,20.173516,20.578527,0.351798,0.001829,0.13449010666666666,1522788.5907444197,3.339865,0.1655569113485225,0.01214,0.01919,0.0177,0.02058,0.01909,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,4,1,64,64,100,1,409600,409600.0,600,150,23.429951,23.90212,0.421645,0.004204,0.15619967333333332,2622284.61339932,5.041256,0.21516289129243163,0.01503,0.0235,0.02248,0.02493,0.02397,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,4,2,64,64,100,1,409600,409600.0,600,150,23.328679,23.812165,0.423967,0.00441,0.15552452666666666,2633668.198700835,5.093998,0.2183577561335556,0.01444,0.02325,0.02226,0.02467,0.0237,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,4,3,64,64,100,1,409600,409600.0,600,150,22.86552,23.346485,0.430228,0.00442,0.1524368,2687015.2089259285,5.046075,0.22068490023406423,0.01422,0.02273,0.02196,0.02411,0.02335,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,8,1,128,64,100,1,819200,819200.0,300,150,26.828555,27.443716,0.565078,0.004818,0.17885703333333333,4580194.497989176,7.89616,0.2943192430602393,0.01897,0.03025,0.0296,0.03174,0.03109,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,8,2,128,64,100,1,819200,819200.0,300,150,26.49276,27.104379,0.561254,0.004888,0.1766184,4638248.336526658,8.060078,0.30423700663879494,0.01906,0.03035,0.02973,0.03177,0.03113,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,8,3,128,64,100,1,819200,819200.0,300,150,26.436861,27.046841,0.559794,0.004776,0.17624574,4648055.606904314,7.846081,0.29678565091369963,0.01909,0.03027,0.02971,0.03171,0.03112,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,16,1,128,128,100,1,1638400,1638400.0,300,150,35.845663,36.731175,0.822292,0.005607,0.23897108666666667,6856059.546171596,12.881654,0.35936436717602344,0.04658,0.06243,0.0603,0.06389,0.06178,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,16,2,128,128,100,1,1638400,1638400.0,300,150,35.83484,36.703621,0.818608,0.00523,0.23889893333333334,6858130.244198104,12.891966,0.3597606686676988,0.04663,0.06206,0.05998,0.06353,0.06148,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,16,3,128,128,100,1,1638400,1638400.0,300,150,35.982788,36.867276,0.822573,0.00514,0.23988525333333333,6829932.133107641,12.912281,0.35884604050136415,0.04651,0.0621,0.06002,0.06356,0.06149,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,32,1,256,128,100,1,3276800,3276800.0,150,150,53.616258,55.012135,1.342141,0.005882,0.35744172,9167368.599278226,23.917892,0.44609401872096327,0.07735,0.1071,0.1058,0.1086,0.1074,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,32,2,256,128,100,1,3276800,3276800.0,150,150,54.529451,55.944226,1.360231,0.005942,0.36352967333333336,9013844.646996355,24.790557,0.4546269317840739,0.07732,0.1072,0.1058,0.1087,0.1073,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,32,3,256,128,100,1,3276800,3276800.0,150,150,53.950787,55.342804,1.337049,0.005942,0.3596719133333333,9110525.116158176,24.126204,0.44718910217194796,0.07717,0.1069,0.1056,0.1083,0.1071,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,64,1,256,256,100,1,6553600,6553600.0,150,150,92.340729,94.771772,2.359976,0.009016,0.6156048599999999,10645789.898409834,46.51815,0.5037663282905207,0.14,0.1934,0.1947,0.195,0.1963,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,64,2,256,256,100,1,6553600,6553600.0,150,150,91.881586,94.307099,2.354516,0.009172,0.6125439066666667,10698988.151989453,46.05133,0.5012030375705531,0.1399,0.1932,0.1946,0.1947,0.1961,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,64,3,256,256,100,1,6553600,6553600.0,150,150,91.345893,93.771968,2.354802,0.009173,0.6089726200000001,10761731.783606296,45.773543,0.501101270092132,0.14,0.1934,0.1942,0.1949,0.1958,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,128,1,512,256,100,1,13107200,13107200.0,75,150,163.341146,167.757938,4.346875,0.012642,1.0889409733333333,12036648.744952481,86.984918,0.5325352498751293,0.247,0.3585,0.3656,0.3601,0.3672,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,128,2,512,256,100,1,13107200,13107200.0,75,150,168.302045,172.792281,4.365577,0.012417,1.1220136333333333,11681854.489646873,92.199726,0.5478229691148435,0.2472,0.3586,0.366,0.3602,0.3676,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,128,3,512,256,100,1,13107200,13107200.0,75,150,167.4092,171.865732,4.375895,0.012544,1.1160613333333333,11744157.429818671,91.57233,0.5469969989701879,0.247,0.3585,0.3658,0.3601,0.3675,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,256,1,512,512,100,1,26214400,26214400.0,75,150,319.280225,334.026769,13.765579,0.293669,2.128534833333333,12315701.669278141,170.430951,0.5337973906777346,0.4721,0.696,0.7131,0.6977,0.7148,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,256,2,512,512,100,1,26214400,26214400.0,75,150,334.128085,348.737745,13.608188,0.335851,2.2275205666666666,11768421.083190298,185.471306,0.5550904408409727,0.472,0.6962,0.7129,0.6979,0.7146,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,256,3,512,512,100,1,26214400,26214400.0,75,150,323.453599,338.157645,13.729219,0.289674,2.1563573266666665,12156797.797757693,174.505603,0.5395073776872708,0.4722,0.6974,0.7146,0.6993,0.7167,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,512,1,1024,512,100,1,52428800,52428800.0,37,150,878.825912,907.416501,26.728043,0.573642,5.8588394133333335,8948666.502223024,533.524252,0.6070875297541295,1.314,2.041,2.103,2.044,2.106,tiny,tiny,tiny,tiny,tiny
iturbo_GPU_amrex,gpu,512,2,1024,512,100,1,52428800,52428800.0,37,150,871.426432,899.967567,26.664518,0.586904,5.809509546666667,9024651.664456284,526.265651,0.6039128854425201,1.315,2.042,2.101,2.045,2.104,tiny,tiny,tiny,tiny,tiny
